Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,emission_types
121 REGIONAL DISPOSAL FACILITY,MELISSA,Texas,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.29857,-96.53586,562212,HH,Waste,504064.0,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
23rd and 3rd,BROOKLYN,New York,11232,730 3rd Avenue,Kings,40.663,-74.0,221112,"C,D",Power Plants,60819.7,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
3Bear Libby Gas Plant,Hobbs,New Mexico,88240,674 Marathon Rd,LEA COUNTY,32.540693,-103.522351,211130,"C,W-PROC",Petroleum and Natural Gas Systems,40521.812,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Processing
31st Street Landfill,WESTCHESTER,Illinois,60154,11700 W 31ST ST,COOK COUNTY,41.835129,-87.915924,562212,"C,HH",Waste,100500.948,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Municipal Landfills
3M BROWNWOOD,BROWNWOOD,Texas,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,31.671177,-98.996513,326113,"C,N",Minerals,29359.64,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Glass Production
3M CO,MAPLEWOOD,Minnesota,55144,,RAMSEY COUNTY,44.951,-92.9959,541715,C,Other,82308.238,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
50 Buttes Gas Plant,Gillette,Wyoming,82716,3669 South Hwy 50,CAMPBELL COUNTY,43.760929,-105.785087,213112,"C,W-PROC",Petroleum and Natural Gas Systems,72243.536,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Processing
3M CO - GUIN,GUIN,Alabama,35563,6675 US HIGHWAY 43,MARION COUNTY,33.96548,-87.89936,326113,"C,N",Minerals,27083.0,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Glass Production
3M CO - WAUSAU DOWNTOWN,WAUSAU,Wisconsin,54401,144 ROSECRANS ST,MARATHON COUNTY,44.95018,-89.63766,212313,C,Other,46909.124,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
3M COMPANY,DECATUR,Alabama,35609,1400 STATE DOCKS RD.,MORGAN COUNTY,34.641667,-87.038611,325211,"C,L,OO","Chemicals,Industrial Gas Suppliers",44016.264024,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>HFC emissions<br>Very Short-lived Compounds emissions<br>Other GHGs (metric tons CO2e)<br>Stationary Combustion<br>Fluorinated GHG Production
3M CORDOVA,CORDOVA,Illinois,61242,22614 ROUTE 84 NORTH,ROCK ISLAND COUNTY,41.755,-90.284167,325998,"C,L,OO","Chemicals,Industrial Gas Suppliers",657865.8974,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>HFC emissions<br>PFC emissions<br>SF6 emissions <br>Other Fully Fluorinated GHG emissions<br>HFE emissions<br>Very Short-lived Compounds emissions<br>Other GHGs (metric tons CO2e)<br>Stationary Combustion<br>Fluorinated GHG Production
3M Cottage Grove Center - Site,Cottage Grove,Minnesota,55016,10746 Innovation Rd,WASHINGTON COUNTY,44.789444,-92.908333,325998,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals",49540.272991,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>HFC emissions<br>Other Fully Fluorinated GHG emissions<br>HFE emissions<br>Very Short-lived Compounds emissions<br>Other GHGs (metric tons CO2e)<br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion<br>Fluorinated GHG Production<br>Glass Production
3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,Arkansas,72206,3110 WALTERS DRIVE,PULASKI COUNTY,34.708919,-92.239492,212399,C,Other,33733.426,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,Minnesota,55350,905-915 ADAMS STREET SOUTHEAST,MCLEOD COUNTY,44.879677,-94.359598,326199,C,Other,39621.3,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
3M NEVADA PLANT,NEVADA,Missouri,64772,2120 E. AUSTIN,VERNON COUNTY,37.834476,-94.330625,326113,C,Other,31562.832,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
3M Pittsboro,Moncure,North Carolina,27559,4191 Hwy 87 South,,35.660546,-79.176782,327999,C,Minerals,25996.852,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
48th Street Peaking Station,HOLLAND,Michigan,49423,491 E 48TH ST,Allegan,42.7553,-86.0853,221112,"C,D",Power Plants,49160.668,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
58TH ST LF (MAIN COUNTY LF),MIAMI,Florida,33178,8831 NW 58TH ST,MIAMI-DADE COUNTY,25.83301,-80.3465,562212,HH,Waste,63873.5,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
59th Street,NEW YORK,New York,10019,850 12TH AVE,New York,40.7711,-73.9911,221330,C,Power Plants,149968.982,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
69TH ST WWTP,HOUSTON,Texas,77020,2525 SSGT MACARIO GARCIA DR,HARRIS COUNTY,29.75579,-95.29791,221320,C,Other,21730.668,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
74th Street,NEW YORK,New York,10021,506 E 75TH ST,New York,40.768,-73.9515,221330,C,Power Plants,174902.712,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
A B Brown Generating Station,MOUNT VERNON,Indiana,47620,8511 WELBORN ROAD,Posey,37.9053,-87.715,221112,D,Power Plants,2386473.354,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Electricity Generation
"A.C.M.S., Inc.",Lake Panasoffkee,Florida,33538,835 CR 529,SUMTER COUNTY,28.743151,-82.091653,562212,HH,Waste,210709.75,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
A.J. Mihm Generating Station,Pelkie,Michigan,49958,816017 Sarya Road,,46.793722,-88.616566,221112,C,Power Plants,123398.136,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ABB Inc.,Mt. Pleasant,Pennsylvania,15666,100 Distribution Circle,WESTMORELAND COUNTY,40.17811,-79.57707,335313,SS,Other,11023.8,Total reported direct emissions<br>SF6 emissions <br>Manufacture of Electric Transmission and Distribution Equipment
ABBOTT PARK FACILITY,ABBOTT PARK,Illinois,60064,100 ABBOTT PARK RD,LAKE COUNTY,42.30227,-87.89065,424210,C,Other,55009.392,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ABBVIE LTD.,BARCELONETA,PR,617,RD 2 KM 58.0,BARCELONETA MUNICIPIO,18.433237,-66.570509,325412,C,Chemicals,64383.468,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ABC COKE,TARRANT,Alabama,35217,ONE RAILROAD AVENUE,JEFFERSON COUNTY,33.580769,-86.781281,324199,"C,Q",Metals,171414.198,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Iron and Steel Production
ABERDEEN ENERGY LLC,MINA,South Dakota,57451,13435 370TH AVENUE,EDMUNDS COUNTY,45.442417,-98.787139,325193,C,Other,196953.308,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,Maryland,21005,4304 Susquehanna Ave,HARFORD COUNTY,39.395404,-76.30773,928110,C,Other,95765.878,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),Iowa,50472,1372 STATELINE ROAD,MITCHELL COUNTY,43.49951,-92.91709,325193,"C,II","Other,Waste",142519.35,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion<br>Industrial Wastewater Treatment
ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,Louisiana,70531,611 PETAL RD,ACADIA PARISH,30.256038,-92.532637,562111,HH,Waste,45082.5,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
AC 857 A,Offshore,Texas,0,,,26.29555555,-94.89777777,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,195340.752,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Offshore Production
ACE ETHANOL LLC,STANLEY,Wisconsin,54768,815 WEST MAPLE STREET,CHIPPEWA COUNTY,44.9589,-90.9608,325193,"C,PP","Other,Suppliers of CO2",69300.84,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ACME BRICK CO ELGIN PLANT,ELGIN,Texas,78621,1776 OLD MCDADE RD,BASTROP COUNTY,30.32903,-97.29207,327120,C,Minerals,26692.3,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ACME GYPSUM FACILITY,QUANAH,Texas,79252,4164 HIGHWAY 285,HARDEMAN COUNTY,34.323944,-99.818194,327420,C,Minerals,39773.0,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ADA COGENERATION,ADA,Michigan,49355,7575 FULTON STREET EAST,KENT COUNTY,42.955455,-85.479053,221112,C,Power Plants,85831.676,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
"ADA Carbon Solutions (Red River), LLC",Coushatta,Louisiana,71019,201 Red River Mine Road,RED RIVER PARISH,32.005405,-93.387829,325998,C,Chemicals,194427.156,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ADKINS ENERGY LLC,LENA,Illinois,61048,4350 WEST GALENA ROAD,STEPHENSON COUNTY,42.3586,-89.80342,325193,C,Other,86205.076,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ADM - MANKATO,MANKATO,Minnesota,56001,2019 3RD AVENUE,BLUE EARTH COUNTY,44.186805,-93.995493,311225,C,Other,139900.224,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ADM CORN PROCESSING,CEDAR RAPIDS,Iowa,52404,1350 WACONIA AVENUE SOUTHWEST,LINN COUNTY,41.9192,-91.6862,311221,"C,II","Other,Waste",2338390.15,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion<br>Industrial Wastewater Treatment
ADM CORN PROCESSING,CLINTON,Iowa,52732,1251 BEAVER CHANNEL PARKWAY,CLINTON COUNTY,41.8196,-90.2122,311221,"C,TT","Other,Waste",2110774.534,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion<br>Industrial Waste Landfills
ADM Deerfield,Deerfield,Missouri,64741,17700 South Highway T,VERNON COUNTY,37.80725,-94.585301,311224,C,Other,41564.844,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ADM Fostoria,Fostoria,Ohio,44830,608 FINDLAY ROAD,HANCOCK COUNTY,41.1494,-83.43295,311224,C,Other,27777.296,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ADM QUINCY,QUINCY,Illinois,62305,2100 GARDNER EXPRESSWAY,ADAMS COUNTY,39.903884,-91.410552,311224,C,Other,104084.408,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ADM SOUTHERN CELLULOSE PROD.IN,CHATTANOOGA,Tennessee,37410,103 W 45TH ST,HAMILTON COUNTY,34.997921,-85.318581,322110,C,Pulp and Paper,26863.848,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ADM SOYBEAN PROCESSING - DES MOINES,DES MOINES,Iowa,50313,1935 EAST EUCLID AVENUE,POLK COUNTY,41.626329,-93.583205,311224,C,Other,153766.68,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ADM Valdosta,Valdosta,Georgia,31601,1841 Clay Road,LOWNDES COUNTY,30.8325,-83.248056,311224,C,Other,52420.728,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion
ADRIAN LANDFILL,ADRIAN,Michigan,49221,1970 N OGDEN HWY,LENAWEE COUNTY,41.890683,-83.992445,562212,HH,Waste,6576.25,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
ADS-CEDAR HILL LANDFILL,RAGLAND,Alabama,35131,1319 NO BUSINESS CREEK ROAD,ST. CLAIR COUNTY,33.676247,-86.25444,562212,"C,HH",Waste,141324.158,Total reported direct emissions<br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion<br>Municipal Landfills
ADS-PECAN ROW-EVERGREEN LANDFILLS,VALDOSTA,Georgia,31601,2995 WETHERINGTON LANE,LOWNDES COUNTY,30.81425,-83.35981,562212,HH,Waste,319537.0,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
ADS-STAR RIDGE LANDFILL,MOODY,Alabama,35004,3301 ACMAR ROAD,ST. CLAIR COUNTY,33.605845,-86.5201,562212,HH,Waste,151287.25,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
ADS/MCLEAN COUNTY LANDFILL,BLOOMINGTON,Illinois,61704,2105 W OAKLAND AVE,MCLEAN COUNTY,40.465534,-89.03273,562212,HH,Waste,4266.75,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,WISCONSIN RAPIDS,Wisconsin,54495,2510 ENGEL ROAD,WOOD COUNTY,44.4093,-89.854855,562212,"C,HH",Waste,20077.15,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Stationary Combustion<br>Municipal Landfills
"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",MACON,Missouri,63552,31226 INTREPID ROAD,MACON COUNTY,39.73376,-92.53825,562212,"C,HH",Waste,21802.698,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Municipal Landfills
ADVANCED DISPOSAL OAK RIDGE LANDFILL,BALWIN,Missouri,63021,1741 SULPHUR SPRING ROAD,ST. LOUIS COUNTY,38.55775,-90.529833,562212,HH,Waste,5362.25,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,DAVIS JUNCTION,Illinois,61020,8290 HIGHWAY 251,OGLE COUNTY,42.14,-89.085,562212,"C,HH",Waste,192679.1,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Stationary Combustion<br>Municipal Landfills
ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,DECATUR,Illinois,62522,1363 BEAR RD,MACON COUNTY,39.822266,-89.043754,562212,"C,HH",Waste,33001.6,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Stationary Combustion<br>Municipal Landfills
ADVANSIX INC - CHESTERFIELD PLANT,CHESTER,Virginia,23836,4101 BERMUDA HUNDRED RD,CHESTERFIELD COUNTY,37.33963,-77.2884,325211,C,Other,57749.83,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ADVANSIX INCORPORATED - HOPEWELL,HOPEWELL,Virginia,23860,905 EAST RANDOLPH ROAD,HOPEWELL CITY,37.1815,-77.1621,325199,"C,G,PP","Chemicals,Suppliers of CO2",1181515.788,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Ammonia Manufacturing
AES - PUERTO RICO COGENERATION PLANT,GUAYAMA,PR,785,"KM 142, RTE. #3 BO. JOBOS",GUAYAMA MUNICIPIO,17.9451,-66.1503,221112,C,Power Plants,3431800.86,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
AES Alamitos,LONG BEACH,California,90803,690 N STUDEBAKER ROAD,Los Angeles,33.7688,-118.1009,221112,"C,D",Power Plants,823899.996,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
AES HAWAII INC,KAPOLEI,Hawaii,96707,91-086 KAOMI LP,HONOLULU COUNTY,21.301222,-158.107306,221112,C,Power Plants,1186453.736,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
AES Huntington Beach,HUNTINGTON BEACH,California,92646,21730 NEWLAND ST,Orange,33.6436,-117.9788,221112,"C,D",Power Plants,516763.936,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
AES Redondo Beach,REDONDO BEACH,California,90277,1100 N HARBOR DRIVE,Los Angeles,33.8504,-118.395,221112,D,Power Plants,239844.36,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Electricity Generation
AES Warrior Run,CUMBERLAND,Maryland,21502,11600 MEXICO FARMS RD SE,Allegany,39.5944,-78.7456,221112,"C,D,PP","Power Plants,Suppliers of CO2",1117382.992,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
AFTON CHEMICAL CORP,SAUGET,Illinois,62201,501 MONSANTO AVE.,ST. CLAIR COUNTY,38.602631,-90.167496,324191,C,Petroleum and Natural Gas Systems,50044.16,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
AG Energy,Ogdensburg,New York,13669,21 Entrance Avenue,ST. LAWRENCE COUNTY,44.7258,-75.4417,221112,"C,D",Power Plants,7329.672,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
AG PROCESSING INC,EMMETSBURG,Iowa,50536,4739 380TH ST,PALO ALTO COUNTY,43.09748,-94.65182,311224,C,Other,25396.004,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
AG PROCESSING INC A COOP-MANNING,MANNING,Iowa,51455,1000 300TH STREET,CARROLL COUNTY,41.920794,-95.070791,311224,C,Other,20570.772,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
AG PROCESSING INC-EAGLE GROVE,EAGLE GROVE,Iowa,50533,500 NORTH COMMERCIAL AVENUE,WRIGHT COUNTY,42.669167,-93.904444,311224,C,Other,66086.452,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
AG PROCESSING INC-SHELDON,SHELDON,Iowa,51201,804 2ND AVE,O'BRIEN COUNTY,43.182248,-95.856177,311224,C,Other,27849.396,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
AG PROCESSING INCORPORATED A COOPERATIVE,DAWSON,Minnesota,56232,800 DIAGONAL STREET,LAC QUI PARLE COUNTY,44.93265,-96.056491,311224,C,Other,38906.004,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
AGC FLAT GLASS N AMERICA INC,RICHMOND,Kentucky,40475,201 DUNCANNON LANE,MADISON COUNTY,37.70034,-84.26929,327211,"C,N",Minerals,77596.454,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Glass Production
AGC FLAT GLASS NORTH AMERICA SPRING HILL PLANT,SPRING HILL,Kansas,66083,20400 NORTH WEBSTER STREET,JOHNSON COUNTY,38.759188,-94.825252,327211,"C,N",Minerals,101902.568,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Glass Production
AGC-GREENLAND FLATGLASS PLANT,CHURCH HILL,Tennessee,37642,600 AFG ROAD,HAWKINS COUNTY,36.497,-82.77946,327211,"C,N",Minerals,117946.716,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Glass Production
AGP SOY/CORN PROCESSING,HASTINGS,Nebraska,68901,2801 E 7TH ST,ADAMS COUNTY,40.59227,-98.3391,311224,C,Other,184240.124,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
AGRI ENERGY LLC,LUVERNE,Minnesota,56156,502 SOUTH WALNUT AVENUE,ROCK COUNTY,43.648333,-96.224444,325199,"C,II","Chemicals,Waste",5563.08,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Industrial Wastewater Treatment
AGRIUM US BORGER NITROGEN OPERATIONS,BORGER,Texas,79007,9201 FM 1551,HUTCHINSON COUNTY,35.6417,-101.4228,325311,"C,G,PP","Chemicals,Suppliers of CO2",955607.872,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Ammonia Manufacturing
AGRIUM US INC - KFO,KENNEWICK,Washington,99337,227515 E BOWLES ROAD,BENTON COUNTY,46.165957,-119.017218,325311,"C,U,V",Chemicals,145127.444,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Miscellaneous Use of Carbonates<br>Nitric Acid Production
AHN Heartland Ingredients,EDDYVILLE,Iowa,52553,1116 Highway 137,MONROE COUNTY,41.143573,-92.647934,311119,C,Other,111912.628,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
"AIR LIQUID LARGE INDUSTRIES US, LP",EL SEGUNDO,California,90245,324 W EL SEGUNDO BLVD,LOS ANGELES COUNTY,33.905833,-118.401944,325120,P,Chemicals,556606.1,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Hydrogen Production
AIR LIQUIDE - CORPUS CHRISTI SMR,CORPUS CHRISTI,Texas,78407,5880 UP RIVER ROAD,NUECES COUNTY,27.813911,-97.472347,325120,P,Chemicals,367763.2,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Hydrogen Production
AIR LIQUIDE - FREEPORT HYCO PLANT,FREEPORT,Texas,77541,2398 VICTORIA ROAD,BRAZORIA COUNTY,28.98037,-95.38396,325120,"C,P",Chemicals,203358.2,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Stationary Combustion<br>Hydrogen Production
AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,PORT NECHES,Texas,77651,2121 PARK STREET,JEFFERSON COUNTY,29.981116,-93.952389,325120,C,Chemicals,4217.184,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
AIR LIQUIDE AMERICA CORP,LONGVIEW,Texas,75602,2292 Callahan Rd,HARRISON COUNTY,32.4478,-94.6875,325120,P,Chemicals,398199.2,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Hydrogen Production
