Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,emission_types
DOZIT COMPANY LANDFILL,MORGANFIELD,Kentucky,42437,4075 STATE ROUTE 360,UNION COUNTY,37.742222,-87.980556,562212,"C,HH",Waste,70438.65,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Stationary Combustion<br>Municipal Landfills
DRAGON CEMENT,THOMASTON,Maine,4861,107 NEW COUNTY RD,KNOX COUNTY,44.08401,-69.157238,327310,"C,H",Minerals,321247.436,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Cement Production
DSM NUTRITIONAL PRODUCTS LLC,BELVIDERE,New Jersey,7823,205 MACKS ISLAND DRIVE,WARREN COUNTY,40.8419,-75.0675,325411,C,Chemicals,50107.502,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
DSM Nutritional Products,Kingstree,South Carolina,29556,1416 N Williamsburg Co Hwy,WILLIAMSBURG COUNTY,33.730841,-79.805202,311224,"C,TT","Other,Waste",30594.704,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Industrial Waste Landfills
DSM Protective Materials,Greenville,North Carolina,27834,5750 Martin Luther King Jr. Highway,PITT COUNTY,35.65739,-77.35402,325220,C,Other,8737.568,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
"DTE Atlantic, LLC",Atlantic City,New Jersey,8401,1077 Absecon Blvd,ATLANTIC COUNTY,39.370885,-74.430391,221112,C,Power Plants,42655.688,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
"DTE Calvert City, LLC",CALVERT CITY,Kentucky,42029,480 N MAIN,Marshall,37.0467,-88.3506,221330,C,Power Plants,189639.236,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
DTE East China,EAST CHINA,Michigan,48054,4490 NORTH RIVER RD,Saint Clair,42.774,-82.4818,221112,D,Power Plants,464192.88,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Electricity Generation
DTE Electric Company - Dearborn Energy Center,Dearborn,Michigan,48124,1641 Carroll Shelby Way East,WAYNE COUNTY,42.29701,-83.23063,221112,C,Power Plants,140314.772,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
DU PONT PONTCHARTRAIN WORKS,LA PLACE,Louisiana,70068,586 HIGHWAY 44,ST. JOHN THE BAPTIST PARISH,30.0589,-90.5241,325110,C,Chemicals,98325.08,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
DUBUQUE METROPOLITAN SANITARY LANDFILL,Dubuque,Iowa,52003,101 Airborne Road,DUBUQUE COUNTY,42.467498,-90.775634,562212,"C,HH",Waste,49295.35,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Stationary Combustion<br>Municipal Landfills
DUKE UNIVERSITY,DURHAM,North Carolina,27710,131 RESEARCH DR,DURHAM COUNTY,36.008498,-78.942578,611310,C,Other,88885.512,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
